Dataset,c,k,m,M_NUM,PIVOT,Q_NUM,R_MIN,RATIO,RECALL,AVG_TIME,COST,DATE
imageNet,1.25,50,15,16,5,100,1,1.17051,0.608,188.005,0.0493954,834.932,
notre,1.25,50,15,16,5,100,1,1.00075,0.9518,56.9495,0.0944543,834.932,
ukbench,1.25,50,15,16,5,100,1,1.00024,0.9612,183.532,0.0737499,834.932,
cifar,1.25,50,15,16,5,100,1,1.00093,0.9506,8.5056,0.161426,834.932,
enron,1.25,50,15,16,5,100,1,1.00033,0.9574,22.6502,0.119928,834.932,
millionSong,1.25,50,15,16,5,100,1,1.00065,0.9546,127.364,0.0394964,834.933,
MNIST,1.25,50,15,16,5,100,1,1.00084,0.9538,11.2751,0.101374,834.933,
nuswide,1.25,50,15,16,5,100,1,1.00202,0.87,72.6228,0.178521,834.933,
sun,1.25,50,15,16,5,100,1,1.00078,0.9416,19.8869,0.162562,834.933,
deep,1.25,50,15,16,5,100,1,1.00094,0.94,223.604,0.120121,834.933,
trevi,1.25,50,15,16,5,100,1,1.00043,0.9536,59.1087,0.126319,834.933,
audio,1.5,50,15,16,5,100,20,1.0023,0.9276,3.55586,0.0426293,834.933,
imageNet,1.5,50,15,16,5,100,20,2.08893,0.2776,0.05677,1.13529e-05,834.934,
notre,1.5,50,15,16,5,100,20,1.00052,0.9554,51.567,0.0666603,834.934,
ukbench,1.5,50,15,16,5,100,20,1.00067,0.9534,193.308,0.0760584,834.934,
cifar,1.5,50,15,16,5,100,20,1.60538,0.2798,0.02898,0.0005272,834.934,
enron,1.5,50,15,16,5,100,20,1.00146,0.926,29.5973,0.130014,834.934,
millionSong,1.5,50,15,16,5,100,20,1.00067,0.9512,117.728,0.0418259,834.934,
MNIST,1.5,50,15,16,5,100,20,1.03521,0.8874,11.3292,0.101935,834.934,
nuswide,1.5,50,15,16,5,100,20,1.00242,0.849,69.3871,0.168773,834.934,
sun,1.5,50,15,16,5,100,20,1.00157,0.9316,12.6449,0.13208,834.934,
deep,1.5,50,15,16,5,100,20,1.77993,0.2778,0.05323,2.581e-05,834.934,
trevi,1.5,50,15,16,5,100,20,1.00032,0.9564,55.1275,0.117537,834.935,
audio,1.5,50,15,16,5,100,300,1.0016,0.9386,3.46969,0.0417948,834.935,
imageNet,1.5,50,15,16,5,100,300,2.23561,0.2776,0.06072,1.11991e-05,834.935,
notre,1.5,50,15,16,5,100,300,1.00045,0.9542,54.4426,0.0818616,834.935,
ukbench,1.5,50,15,16,5,100,300,1.03144,0.9106,176.26,0.0658258,834.935,
cifar,1.5,50,15,16,5,100,300,1.62163,0.2786,0.02486,0.000485,834.935,
enron,1.5,50,15,16,5,100,300,1.05595,0.801,17.0893,0.0937799,834.935,
millionSong,1.5,50,15,16,5,100,300,2.32855,0.2822,0.19636,8.6186e-05,834.935,
MNIST,1.5,50,15,16,5,100,300,2.11878,0.2792,0.03374,0.000368116,834.935,
nuswide,1.5,50,15,16,5,100,300,1.36324,0.2884,1.04957,0.00421939,834.935,
sun,1.5,50,15,16,5,100,300,1.00091,0.9436,14.8208,0.154221,834.935,
deep,1.5,50,15,16,5,100,300,1.76835,0.2782,0.04631,2.611e-05,834.935,
trevi,1.5,50,15,16,5,100,300,1.00045,0.953,58.2793,0.126452,834.936,
audio,1.5,50,15,16,5,100,1,1.00095,0.942,3.6588,0.0420005,834.936,
imageNet,1.5,50,15,16,5,100,1,1.20208,0.5788,159.02,0.0329965,834.936,
notre,1.5,50,15,16,5,100,1,1.00263,0.9236,47.5241,0.046767,834.936,
ukbench,1.5,50,15,16,5,100,1,1.00131,0.9394,178.283,0.0490029,834.936,
cifar,1.5,50,15,16,5,100,1,1.00398,0.8984,5.61989,0.0831682,834.936,
enron,1.5,50,15,16,5,100,1,1.00157,0.9328,15.1929,0.0707037,834.936,
millionSong,1.5,50,15,16,5,100,1,1.00079,0.9476,204.804,0.0373773,834.937,
MNIST,1.5,50,15,16,5,100,1,1.00286,0.9268,8.17904,0.0557748,834.937,
nuswide,1.5,50,15,16,5,100,1,1.00468,0.771,54.4016,0.0895398,834.937,
sun,1.5,50,15,16,5,100,1,1.00294,0.8928,10.6066,0.0909185,834.937,
deep,1.5,50,15,16,5,100,1,1.00172,0.917,192.062,0.067866,834.937,
trevi,1.5,50,15,16,5,100,1,1.0013,0.9378,34.9291,0.0703889,834.937,
audio,1.5,50,15,16,5,100,1,1.00089,0.9494,3.95398,0.0634079,834.937,
imageNet,1.5,50,15,16,5,100,1,1.1997,0.6008,217.953,0.055844,834.938,
notre,1.5,50,15,16,5,100,1,1.00124,0.9442,52.0942,0.0681599,834.938,
ukbench,1.5,50,15,16,5,100,1,1.00091,0.9474,179.835,0.0649513,834.938,
cifar,1.5,50,15,16,5,100,1,1.00108,0.948,9.901,0.198518,834.938,
enron,1.5,50,15,16,5,100,1,1.00067,0.9504,25.1151,0.132245,834.938,
millionSong,1.5,50,15,16,5,100,1,1.0011,0.9398,134.154,0.0442437,834.938,
MNIST,1.5,50,15,16,5,100,1,1.00165,0.9434,10.8791,0.0915175,834.938,
nuswide,1.5,50,15,16,5,100,1,1.00087,0.92,110.266,0.332522,834.939,
sun,1.5,50,15,16,5,100,1,1.0015,0.9288,15.3524,0.128599,834.939,
deep,1.5,50,15,16,5,100,1,1.00121,0.9354,237.671,0.143559,834.939,
trevi,1.5,50,15,16,5,100,1,1.00054,0.9542,53.7698,0.106488,834.939,
